word,pronunciation,definition,example_sentence
old,[əuld],年老的,My grandpa is very old but healthy.
young,[jʌŋ],年轻的,The young boy can run very fast.
funny,[ˈfʌni],滑稽可笑的,The clown is very funny.
kind,[kaɪnd],和蔼的,Our English teacher is very kind.
strict,[strɪkt],严格的,My father is strict with my study.
polite,[pəˈlaɪt],有礼貌的,We should be polite to others.
hard-working,/,努力工作的,She is a hard-working student.
helpful,[ˈhelpfəl],有帮助的,A robot is very helpful at home.
clever,[ˈklevə(r)],聪明的,The clever dog can open the door.
shy,[ʃɪ],害羞的,The shy girl did not speak.
Monday,[ˈmʌndeɪ],星期一,We have music class on Monday.
Tuesday,[ˈtjuːzdeɪ],星期二,Is it Tuesday today?
weekend,[ˈwiːkɛnd],周末,I often go to the park on the weekend.
wash,[wɒʃ],洗,Please wash your hands before dinner.
watch,[wɒtʃ],看,I like to watch TV in the evening.
homework,[ˈhəʊmwɜːk],做作业,I finish my homework at eight.
football,[ˈfʊtbɔːl],足球,Let's play football after school.
sandwich,[ˈsænwɪdʒ],三明治,I want a sandwich for lunch.
salad,[ˈsæləd],蔬菜沙拉,The salad is very fresh.
healthy,[ˈhelði],健康的,Eating fruit is healthy for us.
delicious,[ɪˈlɪʃəs],美味的,The cake is very delicious.
favourite,[ˈfeɪvərɪt],最喜爱的,Apple is my favourite fruit.
sing,[sɪŋ],唱,I can sing English songs.
dance,[ɑːns],跳舞,She likes to dance in the party.
draw,[drɔː],画,I can draw a beautiful tree.
cartoon,[kɑːˈtuːn],漫画,I like watching cartoons on Sunday.
clock,[klɒk],钟,There is a clock on the wall.
plant,[plɑːnt],植物,I have a small plant in my room.
photo,[ˈfəʊtəʊ],照片,This is a photo of my family.
house,[haʊs],房子,Our house is near the river.
forest,[ˈfɒrɪst],森林,There are many trees in the forest.
river,[ˈrɪvə(r)],河流,The water in the river is clean.
bridge,[brɪʒ],桥,There is a bridge over the lake.
eat breakfast,[ˈbrekfəst],吃早饭,I eat breakfast at seven a.m.
clean my room,/,打扫房间,I clean my room every Saturday.
go for a walk,/,散步,Let's go for a walk in the park.
usually,[ˈjuːʒuəl],通常地,I usually go to bed at nine p.m.
spring,[sprɪŋ],春天,Flowers are beautiful in spring.
summer,[ˈsʌmə(r)],夏天,I like to go swimming in summer.
autumn,[ˈɔːtəm],秋天,Autumn is a golden season.
winter,[ˈwɪntə(r)],冬天,We can make a snowman in winter.
picnic,[ˈpɪknɪk],野餐,We go on a picnic in spring.
January,[ˈdʒænjuəri],一月,January is the first month.
February,[ˈfebruəri],二月,My birthday is in February.
sports meet,/,运动会,We have a sports meet every year.
excited,[ɪkˈsaɪtɪd],兴奋的,I am excited about the trip.
mine,[maɪn],我的,This blue bike is mine.
yours,[jɔːz],你的,Is this water bottle yours?
climbing,[ˈklaɪmɪŋ],正在攀登,The monkey is climbing the tree.
reading a book,/,正在看书,She is reading a book in the library.
listening to music,/,正在听音乐,I like listening to music at home.
word,pronunciation,definition,example_sentence
eat breakfast,[ˈbrekfəst],吃早饭,I eat breakfast at seven o'clock.
have... class,/,上课,We have English class now.
play sports,/,进行体育运动,I like to play sports with my friends.
exercise,[ˈeksəsaɪz],活动; 运动,You should exercise every day.
do morning exercises,/,做早操,We do morning exercises at school.
eat dinner,/,吃晚饭,I eat dinner with my family.
clean my room,/,打扫我的房间,I clean my room every Saturday.
go for a walk,/,散步,Let's go for a walk in the park.
go shopping,/,去买东西; 购物,My mother likes to go shopping.
take,[teɪk],学习; 上(课),I take a dancing class on Sunday.
dancing,[ˈdɑːnsɪŋ],跳舞; 舞蹈,Dancing is very fun.
take a dancing class,/,上舞蹈课,She takes a dancing class every week.
when,[wen],什么时候; 何时,When do you go to school?
after,[ˈɑːftə(r)],在(时间)后,I go home after school.
start,[stɑːt],开始,The class starts at eight o'clock.
usually,[ˈjuːʒuəl],通常地; 惯常地,I usually get up early.
Spain,[speɪn],西班牙,He is from Spain.
late,[leɪt],晚; 迟,Don't be late for school.
a.m.,[ˌeɪ 'em],午前; 上午,It is 9:00 a.m. now.
p.m.,[ˌpiː 'em],午后; 下午,I go home at 4:00 p.m.
why,[waɪ],为什么,Why are you so happy today?
shop,/,购物,Let's go to the shop.
work,[wɜːk],工作,My father works in a hospital.
last,[lɑːst],上一个的; 刚过去的,I went to Beijing last year.
sound,[saʊnd],听起来好像,That sounds like a good idea.
busy,[ˈbɪzi],忙的,I am very busy today.
need,[niːd],需要,I need some help with my homework.
play,[pleɪ],戏剧; 剧本,We are watching a play.
letter,[ˈletə(r)],信,I am writing a letter to my friend.
live,[lɪv],居住,I live in a big city.
island,[ˈaɪlənd],岛,The island is very beautiful.
always,[ˈɔːlweɪz],总是; 一直,She always helps others.
cave,[keɪv],山洞; 洞穴,The bear lives in a cave.
go swimming,/,去游泳,I like to go swimming in summer.
win,[wɪn],获胜,We want to win the game.
spring,[sprɪŋ],春天,Spring is a green season.
